台灣頻道,#genre#
中視,https://z3.ubtvfans.com/live/rx3/333/6b689cc884a9d00edd07cd9334e43028/index.m3u8
華視,https://z3.ubtvfans.com/live/rx6/3490/029743edbc3dc8c853778b892c227f31/index.m3u8
公視,https://z3.ubtvfans.com/live/rx3/86/21a09ee05bb6791a059774a036be73b4/index.m3u8
好消息,https://z3.ubtvfans.com/live/rx1/104/148c17118996b816db97b6735f9756cb/index.m3u8
好消息2,https://z3.ubtvfans.com/live/rx3/3272/a8ed8feb85be2f50e94f8e7fd5abbe2d/index.m3u8
原住民電視,https://z3.ubtvfans.com/live/rx1/95/d554b74a74303d9c59a412d5e737526f/index.m3u8
八大第一,https://z3.ubtvfans.com/live/rx3/318/d3d81cb63f9a6add6c7b089c0b1a1869/index.m3u8
八大綜合,https://z3.ubtvfans.com/live/rx3/3258/5b03fd9763b6df0253ae76a86cda3b2e/index.m3u8
八大綜合,https://z3.ubtvfans.com/live/rx3/2286/1024e5d806fb08a4d6bc3f167da6ac20/index.m3u8
東風衛視,https://z3.ubtvfans.com/live/rx6/3262/0c63de2a2427f5bd47ad0b9621a4dacd/index.m3u8
三立臺灣,https://z3.ubtvfans.com/live/rx3/35/c3c208d4876ec42473c4b41060b72571/index.m3u8
三立臺灣,https://z3.ubtvfans.com/live/rx2/21/6eb0df1972f8793fe5bfd4aba031c1d2/index.m3u8
三立都會,https://z3.ubtvfans.com/live/rx3/2435/84241635c0a01708ace6ccab45cad8e2/index.m3u8
三立都會,https://z3.ubtvfans.com/live/rx2/1001/91efc3a2790d32a008a04a5e1aafeb97/index.m3u8
東森綜合,https://z3.ubtvfans.com/live/rx3/372/aee1ac1106422a3758933bbc5606a264/index.m3u8
東森綜合,https://z3.ubtvfans.com/live/rx3/3487/1e8bde9fc8b0564a5a70aafef73bad0b/index.m3u8
東森綜合2台,https://z3.ubtvfans.com/live/rx5/28/8c50d5f0397833ed8e69196b1fe67b6a/index.m3u8
東森超視,https://z3.ubtvfans.com/live/rx3/80/9a1c0e87874ef1afbc5cfe8501da7c51/index.m3u8
東森購物2,https://z3.ubtvfans.com/live/rx1/1156/3bfaa4ded125187bf3429058e82e26ef/index.m3u8
中天綜合,https://z3.ubtvfans.com/live/rx6/3072/ad13fa6dab35b2daafb857224831c4b5/index.m3u8
中天綜合,https://z3.ubtvfans.com/live/rx5/54/7f382cf25fb0ad48f4e68cb45ac1f6cd/index.m3u8
中天娛樂,https://z3.ubtvfans.com/live/rx3/324/59af1029d7599db3a181f43e43f7fa50/index.m3u8
TVBS歡樂,https://z3.ubtvfans.com/live/rx3/40/e95032da0c5dd1d44838d70f97836221/index.m3u8
TVBS歡樂,https://z3.ubtvfans.com/live/rx1/3486/d890fc2f4f09aa427bffd29590611486/index.m3u8
八大精彩,https://z3.ubtvfans.com/live/rx2/1024/9c5eb6efea98b18aa7a0e60cae1af719/index.m3u8
JET綜合,https://z3.ubtvfans.com/live/rx3/41/abd25f99d0d40210121cfe6e73d2880a/index.m3u8
東森購物1,https://z3.ubtvfans.com/live/rx1/1155/986aece654111b98427c1dc7c8f3daee/index.m3u8
TVBS,https://z3.ubtvfans.com/live/rx3/2273/e38682ba99e995012865ef6aa7992c66/index.m3u8
TVBS,https://z3.ubtvfans.com/live/rx1/16/816a76dca2889ba6884ee64e09151340/index.m3u8
國興衛視,https://z3.ubtvfans.com/live/rx3/65/f07a342d8e316ab81f1b37ae7a0bf1f1/index.m3u8
信大電視,https://z3.ubtvfans.com/live/rx1/422/0bcfd4406f6bc97a8fc65e875ad83ed1/index.m3u8
八大娱乐,https://z3.ubtvfans.com/live/rx3/105/c06e7c42f728061cb24da4136bd5cb56/index.m3u8
高點綜合,https://z3.ubtvfans.com/live/rx3/99/ad426e8a6d405812ab80136ab2e18f82/index.m3u8
中天亞洲,https://z3.ubtvfans.com/live/rx3/322/f68805f95dbd8172c287c1ac845e0a71/index.m3u8
龍華日韓,https://z3.ubtvfans.com/live/rx6/382/e59cd60155cd4c123daa182ac90d28a9/index.m3u8
ELTA娛樂台,https://z3.ubtvfans.com/live/rx6/351/411eaa84766390f814a6aed862c8d20a/index.m3u8
韓國娛樂,https://z3.ubtvfans.com/live/rx1/73/1f82c54cb490271246703741c5c31ed8/index.m3u8
靖天育樂,https://z3.ubtvfans.com/live/rx1/1029/c85f6ee5d96227d2d5c67c375388f8c8/index.m3u8
靖天歡樂,https://z3.ubtvfans.com/live/rx1/51/ecbf0335a953590733a5acf3420ff894/index.m3u8
三立綜合,https://z3.ubtvfans.com/live/rx3/2815/7275b2a2c08a712776212711d6f38f55/index.m3u8
靖天資訊,https://z3.ubtvfans.com/live/rx2/49/fc38ca2211690c55cc1d7ef67032429f/index.m3u8
TVBS精采,https://z3.ubtvfans.com/live/rx3/66/72f2076980f3f707fa82975c351fc14b/index.m3u8
年代MUCH,https://z3.ubtvfans.com/live/rx2/1359/5dd60464260fb75bda771e143c509cf7/index.m3u8
ELTA綜合,https://z3.ubtvfans.com/live/rx3/1137/b7e466e77b402ea43b0dfe325594a14f/index.m3u8
東森購物3,https://z3.ubtvfans.com/live/rx1/1584/45ebf563e5d36c67b3d9fb79f91cfad5/index.m3u8
大立電視,https://z3.ubtvfans.com/live/rx3/1593//index.m3u8
東森購物5,https://z3.ubtvfans.com/live/rx1/2978/d1a9ce4b6cf69b9c2f5c65c9ccdb5e5d/index.m3u8
東森新聞,https://z3.ubtvfans.com/live/rx6/1358/9b77f42618c2e10ec3f8e55f7b454462/index.m3u8
東森亞洲,https://z3.ubtvfans.com/live/rx6/3/1245e0316500bd33009f9df69d1a8706/index.m3u8
TVBS新聞,https://z3.ubtvfans.com/live/rx1/2736/a9e0da19e80810bc21a903a4b9b02aa8/index.m3u8
TVBS新聞,https://z3.ubtvfans.com/live/rx3/2/5443815966ecbac9d62966e2b8ad67cc/index.m3u8
TVBS新聞,https://z3.ubtvfans.com/live/rx1/2490/54595060e2a2bed178cf189bcc9457e4/index.m3u8
華視新聞,https://z3.ubtvfans.com/live/rx6/2424/2943dc77f58d457f3da645f8991427ca/index.m3u8
華視新聞,https://z3.ubtvfans.com/live/rx4/1171/a48f09be0bef9277ec710911335341fb/index.m3u8
三立iNEWS,https://z3.ubtvfans.com/live/rx2/6/366639847e3dcd21d4e1e6bef5ebcb15/index.m3u8
寰宇新聞台灣,https://z3.ubtvfans.com/live/rx2/2401/4a3dc870d7f7693da9005b41bdf20f76/index.m3u8
寰宇新聞台灣,https://z3.ubtvfans.com/live/rx2/87/aae6ead7266fdf992e88a0d5bc236845/index.m3u8
寰宇新聞,https://z3.ubtvfans.com/live/rx4/304/5a95f66fe4111362ecf4559d22f8df85/index.m3u8
公視新聞,https://z3.ubtvfans.com/live/rx1/20/605dc9eef9ce2d98d2a856389f8d798f/index.m3u8
年代新聞,https://z3.ubtvfans.com/live/rx1/1099/cf9f14d277a1b94cb3d19cdd8095a9ed/index.m3u8
壹新聞,https://z3.ubtvfans.com/live/rx2/2777/12a7cea75470b6378c3dbdb8383c1450/index.m3u8
壹新聞-2,https://z3.ubtvfans.com/live/rx6/494/6e7c4ac54d85749437abf40a376a7654/index.m3u8
台視財經,https://z3.ubtvfans.com/live/rx2/300/0f3236a090398c9b53a80a13820a755e/index.m3u8
鏡新聞mnews,https://z3.ubtvfans.com/live/rx4/463/80a9304802a037868d4de919d97fb946/index.m3u8
三立国際,https://z3.ubtvfans.com/live/rx1/2285/ec005f2a19f1c7aced6f9a050c2754cc/index.m3u8
東森戲劇,https://z3.ubtvfans.com/live/rx3/2825/eec2dd784f03c15cdf2db483af05b5f9/index.m3u8
東森戲劇-備,https://z3.ubtvfans.com/live/rx2/321/dbdace36dcc63ff148ce48e6d4fada58/index.m3u8
八大戲劇,https://z3.ubtvfans.com/live/rx3/81/c259ad66779795d2f66ebe688e1035e7/index.m3u8
東森電影,https://z3.ubtvfans.com/live/rx3/350/28e7e8243ff5a037d9b663e5ab26dcbc/index.m3u8
東森電影,https://z3.ubtvfans.com/live/rx2/2720/07bf371493a74a8dc84672985e376e2d/index.m3u8
HBO HD,https://z3.ubtvfans.com/live/rx3/332/c4a20101a51e2b16ef4b22573386a769/index.m3u8
HBO HD,https://z3.ubtvfans.com/live/rx1/2823/8a2198921f121bda12a2d7c3d908bd29/index.m3u8
東森洋片,https://z3.ubtvfans.com/live/rx3/1128/e412ad109ce26751ff4b8a356909aa4c/index.m3u8
壹電影,https://z3.ubtvfans.com/live/rx6/2284/a29bcfcffdbe7fd36e9d244160559478/index.m3u8
好萊塢電影,https://z3.ubtvfans.com/live/rx3/37/90289b716063113abbb7bb0aa102af13/index.m3u8
愛爾達影劇,https://z3.ubtvfans.com/live/rx6/500/4a12fdbbb239bc99f820525343741f38/index.m3u8
CineMAX,https://z3.ubtvfans.com/live/rx1/346/e4ed29f1c90abbce77af020f4590c887/index.m3u8
緯來精彩,https://z3.ubtvfans.com/live/rx3/2280/e8764bb6dffd3b570d52ddcb9e20cc22/index.m3u8
EYE戲劇,https://z3.ubtvfans.com/live/rx2/191/241b77b7291d462c99305fdad18493f2/index.m3u8
三立戲劇,https://z3.ubtvfans.com/live/rx2/64/9c6a096456a1f5e5800da7acda61b39f/index.m3u8
