中央频道,#genre#
CCTV-1综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV7,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV8,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://39.135.138.60:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV-1综合0,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV-1综合0,http://39.135.138.60:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV-1综合1,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV-1综合2,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV-1综合2,http://39.135.138.60:18890/PLTV/88888910/224/3221225637/index.m3u8
CCTV-1综合4,http://39.135.138.60:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV-1综合4,http://39.135.138.59:18890/PLTV/88888910/224/3221225640/index.m3u8
CCTV-1综合7,http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8
CCTV-1综合3,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CNC中文,http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8
CGTN纪录,http://39.135.138.58:18890/PLTV/88888888/224/3221225645/index.m3u8
新华中文,http://39.135.138.58:18890/PLTV/88888888/224/3221225694/index.m3u8
CCTV-17农业,http://39.134.115.163:8080/PLTV/88888910/224/3221225909/index.m3u8
新华英语,http://39.135.138.58:18890/PLTV/88888888/224/3221225693/index.m3u8
CNC英文,http://39.135.138.59:18890/PLTV/88888910/224/3221225693/index.m3u8
CHC动作电影,http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8
CHC家庭影院,http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8
CCTV1,http://120.236.17.34:808/hls/201/index.m3u8
CCTV2,http://120.236.17.34:808/hls/202/index.m3u8
CCTV4,http://120.236.17.34:808/hls/204/index.m3u8
CCTV-3,http://120.236.17.34:808/hls/3/index.m3u8
CCTV-6,http://120.236.17.34:808/hls/8/index.m3u8
CCTV-5,http://120.236.17.34:808/hls/5/index.m3u8
CCTV7,http://120.236.17.34:808/hls/207/index.m3u8
CCTV-8,http://120.236.17.34:808/hls/10/index.m3u8
CCTV9,http://120.236.17.34:808/hls/209/index.m3u8
CCTV10,http://120.236.17.34:808/hls/210/index.m3u8
CCTV11,http://120.236.17.34:808/hls/211/index.m3u8
CCTV12,http://120.236.17.34:808/hls/212/index.m3u8

卫视频道,#genre#
湖南卫视,http://120.236.17.34:808/hls/217/index.m3u8
浙江卫视,http://120.236.17.34:808/hls/218/index.m3u8
东方卫视,http://120.236.17.34:808/hls/220/index.m3u8
安徽卫视,http://120.236.17.34:808/hls/221/index.m3u8
北京卫视,http://120.236.17.34:808/hls/222/index.m3u8
河南卫视,http://120.236.17.34:808/hls/232/index.m3u8
云南卫视,http://120.236.17.34:808/hls/233/index.m3u8
青海卫视,http://120.236.17.34:808/hls/242/index.m3u8
宁夏卫视,http://120.236.17.34:808/hls/244/index.m3u8
旅游卫视,http://120.236.17.34:808/hls/243/index.m3u8
广东新闻,http://120.236.17.34:808/hls/250/index.m3u8
广东公共,http://120.236.17.34:808/hls/251/index.m3u8
北京卫视,http://140.207.241.2:8080/live/program/live/bjwshd/4000000/mnf.m3u8
北京卫视,http://140.207.241.3:8080/live/program/live/bjwshd/4000000/mnf.m3u8
北京卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225673/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
重庆卫视,http://183.207.255.197/live/program/live/cqws/1300000/mnf.m3u8
北京卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/bjwshd/4000000/mnf.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
深圳卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225741/index.m3u8
